timestamp, replicas, real_output_flux, input_flux, error
0.0, 1, 0, 0, 0
2.0, 1, 0, 1, -1
4.0, 1, 0, 1, -1
6.0, 1, 0, 1, -1
8.0, 1, 0, 1, -1
10.0, 1, 0, 1, -1
12.0, 1, 1, 1, 0
14.0, 1, 0, 1, -1
16.0, 1, 1, 1, 0
18.0, 1, 1, 1, 0
20.0, 1, 1, 1, 0
22.0, 1, 1, 1, 0
24.0, 1, 0, 1, -1
26.0, 1, 1, 1, 0
28.0, 1, 1, 1, 0
30.0, 1, 1, 1, 0
32.0, 1, 1, 2, -1
34.0, 1, 1, 3, -2
36.0, 1, 0, 3, -3
38.0, 1, 1, 3, -2
40.0, 2, 1, 3, -2
42.0, 2, 1, 3, -2
44.0, 2, 1, 3, -2
46.0, 2, 1, 3, -2
48.0, 2, 0, 3, -3
50.0, 3, 2, 3, -1
52.0, 3, 2, 3, -1
54.0, 1, 2, 3, -1
56.0, 1, 2, 3, -1
58.0, 1, 2, 3, -1
60.0, 2, 2, 3, -1
62.0, 2, 2, 2, 0
64.0, 1, 2, 0, 2
66.0, 1, 3, 1, 2
68.0, 1, 2, 1, 1
70.0, 1, 3, 1, 2
72.0, 1, 4, 1, 3
74.0, 1, 4, 1, 3
76.0, 1, 3, 1, 2
78.0, 1, 4, 1, 3
80.0, 1, 4, 1, 3
82.0, 1, 4, 1, 3
84.0, 1, 4, 1, 3
86.0, 1, 2, 1, 1
88.0, 1, 3, 1, 2
90.0, 1, 2, 1, 1
92.0, 1, 1, 2, -1
94.0, 1, 3, 3, 0
96.0, 1, 2, 3, -1
98.0, 1, 2, 3, -1
100.0, 1, 2, 3, -1
102.0, 1, 2, 3, -1
104.0, 1, 2, 3, -1
106.0, 1, 2, 3, -1
108.0, 1, 2, 3, -1
110.0, 1, 2, 3, -1
112.0, 1, 2, 3, -1
114.0, 1, 2, 3, -1
116.0, 1, 2, 3, -1
118.0, 1, 2, 3, -1
120.0, 1, 2, 3, -1
122.0, 1, 1, 2, -1
124.0, 1, 2, 0, 2
126.0, 1, 2, 0, 2
128.0, 1, 2, 0, 2
130.0, 1, 2, 0, 2
132.0, 1, 2, 0, 2
134.0, 1, 2, 0, 2
136.0, 1, 2, 0, 2
138.0, 1, 2, 0, 2
140.0, 1, 1, 0, 1
142.0, 1, 0, 0, 0
144.0, 1, 0, 0, 0
146.0, 1, 0, 0, 0
148.0, 1, 0, 0, 0
150.0, 1, 0, 0, 0
152.0, 1, 0, 0, 0
154.0, 1, 0, 0, 0
