measurement,job_id,conf,repetition,timestamp,error,replicas,real_output_flux,expected_output_flux,input_flux,lease_expired_count,queue_size,workload
0,None,None,0,0.0,0.67,1,0.0,0.67,0.0,0,1,None
1,None,None,0,2.0,-2.33,1,0.0,0.67,3.0,0,7,None
2,None,None,0,4.0,-2.33,1,0.0,0.67,3.0,0,13,None
3,None,None,0,6.0,-2.33,1,0.0,0.67,3.0,0,17,None
4,None,None,0,8.0,-2.33,1,0.5,0.67,3.0,0,22,None
5,None,None,0,10.0,-2.33,1,0.5,0.67,3.0,0,27,None
6,None,None,0,12.0,-2.33,1,1.0,0.67,3.0,0,31,None
7,None,None,0,14.0,-2.83,1,1.0,0.67,3.5,0,36,None
8,None,None,0,16.0,-2.33,1,1.0,0.67,3.0,0,40,None
9,None,None,0,18.0,-2.33,1,1.0,0.67,3.0,0,44,None
10,None,None,0,20.0,-1.67,2,1.0,1.33,3.0,0,48,None
11,None,None,0,22.0,-1.67,2,0.5,1.33,3.0,0,53,None
12,None,None,0,24.0,-1.0,3,1.0,2.0,3.0,0,57,None
13,None,None,0,26.0,-1.0,3,1.0,2.0,3.0,0,60,None
14,None,None,0,28.0,-1.0,3,1.0,2.0,3.0,0,64,None
15,None,None,0,30.0,-0.33000000000000007,4,1.5,2.67,3.0,0,67,None
16,None,None,0,32.0,-0.33000000000000007,4,2.0,2.67,3.0,0,69,None
17,None,None,0,34.0,0.33000000000000007,5,1.5,3.33,3.0,0,71,None
18,None,None,0,36.0,0.33000000000000007,5,2.0,3.33,3.0,0,72,None
19,None,None,0,38.0,0.33000000000000007,5,3.0,3.33,3.0,0,72,None
20,None,None,0,40.0,1.0,6,4.0,4.0,3.0,0,70,None
21,None,None,0,42.0,1.0,6,4.0,4.0,3.0,0,68,None
22,None,None,0,44.0,1.0149253731343282,6,2.985074626865672,4.0,2.985074626865672,0,67,None
23,None,None,0,46.0,1.0,6,4.0,4.0,3.0,0,64,None
24,None,None,0,48.0,1.0,6,4.5,4.0,3.0,0,61,None
25,None,None,0,50.0,1.0,6,5.0,4.0,3.0,0,57,None
26,None,None,0,52.0,1.0,6,5.5,4.0,3.0,0,52,None
27,None,None,0,54.0,1.0,6,6.0,4.0,3.0,0,46,None
28,None,None,0,56.0,1.0,6,5.0,4.0,3.0,0,42,None
29,None,None,0,58.0,1.0,6,5.5,4.0,3.0,0,37,None
30,None,None,0,60.0,1.0,6,5.5,4.0,3.0,0,32,None
31,None,None,0,62.0,1.0,6,5.5,4.0,3.0,0,27,None
32,None,None,0,64.0,1.0,6,5.5,4.0,3.0,0,22,None
33,None,None,0,66.0,1.0,6,5.5,4.0,3.0,0,17,None
34,None,None,0,68.0,1.0149253731343282,6,5.970149253731344,4.0,2.985074626865672,0,12,None
35,None,None,0,70.0,1.0,6,5.0,4.0,3.0,0,7,None
36,None,None,0,72.0,1.0,6,5.5,4.0,3.0,0,2,None
37,None,None,0,74.0,1.0,6,5.5,4.0,3.0,0,0,None
38,None,None,0,76.0,1.0,6,3.0,4.0,3.0,0,0,None
39,None,None,0,78.0,1.0,6,3.0,4.0,3.0,0,0,None
40,None,None,0,80.0,1.0,6,3.0,4.0,3.0,0,0,None
41,None,None,0,82.0,1.0,6,3.0,4.0,3.0,0,0,None
42,None,None,0,84.0,1.0,6,3.0,4.0,3.0,0,0,None
43,None,None,0,86.0,1.0,6,3.0,4.0,3.0,0,0,None
44,None,None,0,88.0,1.0,6,3.0,4.0,3.0,0,0,None
45,None,None,0,90.0,1.0,6,3.0,4.0,3.0,0,0,None
46,None,None,0,92.0,1.0,6,3.0,4.0,3.0,0,0,None
47,None,None,0,94.0,1.0,6,3.0,4.0,3.0,0,0,None
48,None,None,0,96.0,1.0,6,3.0,4.0,3.0,0,0,None
49,None,None,0,98.0,1.0,6,3.0,4.0,3.0,0,0,None
50,None,None,0,100.0,1.0,6,3.0,4.0,3.0,0,0,None
51,None,None,0,102.0,1.0,6,3.0,4.0,3.0,0,0,None
52,None,None,0,104.0,1.0,6,3.0,4.0,3.0,0,0,None
53,None,None,0,106.0,1.0,6,3.0,4.0,3.0,0,0,None
54,None,None,0,108.0,1.0,6,3.0,4.0,3.0,0,0,None
55,None,None,0,110.0,1.0,6,3.0,4.0,3.0,0,0,None
56,None,None,0,112.0,1.0,6,3.0,4.0,3.0,0,0,None
57,None,None,0,114.0,1.0,6,3.0,4.0,3.0,0,0,None
58,None,None,0,116.0,1.0,6,3.0,4.0,3.0,0,0,None
59,None,None,0,118.0,1.0,6,3.0,4.0,3.0,0,0,None
60,None,None,0,120.0,1.0,6,3.0,4.0,3.0,0,0,None
61,None,None,0,122.0,1.0,6,3.0,4.0,3.0,0,0,None
62,None,None,0,124.0,1.0,6,3.0,4.0,3.0,0,0,None
63,None,None,0,126.0,1.0,6,3.0,4.0,3.0,0,0,None
64,None,None,0,128.0,1.0,6,3.0,4.0,3.0,0,0,None
65,None,None,0,130.0,1.0,6,3.0,4.0,3.0,0,0,None
66,None,None,0,132.0,1.0,6,3.0,4.0,3.0,0,0,None
67,None,None,0,134.0,1.0,6,3.0,4.0,3.0,0,0,None
68,None,None,0,136.0,1.0,6,3.0,4.0,3.0,0,0,None
69,None,None,0,138.0,1.0,6,3.0,4.0,3.0,0,0,None
70,None,None,0,140.0,1.0,6,3.0,4.0,3.0,0,0,None
71,None,None,0,142.0,0.5,6,3.0,4.0,3.5,0,0,None
72,None,None,0,144.0,1.0,6,3.0,4.0,3.0,0,0,None
73,None,None,0,146.0,1.0,6,3.0,4.0,3.0,0,0,None
74,None,None,0,148.0,1.0,6,3.0,4.0,3.0,0,0,None
75,None,None,0,150.0,1.0,6,3.0,4.0,3.0,0,0,None
76,None,None,0,152.0,1.0,6,3.0,4.0,3.0,0,0,None
77,None,None,0,154.0,0.33000000000000007,5,3.0,3.33,3.0,0,0,None
78,None,None,0,156.0,0.33000000000000007,5,3.0,3.33,3.0,0,0,None
79,None,None,0,158.0,0.33000000000000007,5,3.0,3.33,3.0,0,0,None
80,None,None,0,160.0,-0.33000000000000007,4,3.0,2.67,3.0,0,0,None
81,None,None,0,162.0,-0.33000000000000007,4,3.0,2.67,3.0,0,0,None
82,None,None,0,164.0,-0.33000000000000007,4,3.0,2.67,3.0,0,0,None
83,None,None,0,166.0,-0.33000000000000007,4,3.0,2.67,3.0,0,0,None
84,None,None,0,168.0,-0.33000000000000007,4,3.0,2.67,3.0,0,0,None
85,None,None,0,170.0,-0.33000000000000007,4,3.0,2.67,3.0,0,0,None
86,None,None,0,172.0,-0.33000000000000007,4,3.0,2.67,3.0,0,0,None
87,None,None,0,174.0,-0.33000000000000007,4,3.0,2.67,3.0,0,0,None
